,mcc,mpc,ddi_0,ddi_1,ddi_2,ddi_3,ddi_4,ddi_5,ddi_6,ddi_7,ddi_8,ddi_9,ddi_10,ddi_11,ddi_12,ddi_13,ddi_14,ddi_15,ddi_16,ddi_17,ddi_18,entropy_0,entropy_1,entropy_2,entropy_3,entropy_4,entropy_5,entropy_6,entropy_7,entropy_8,entropy_9,entropy_10,entropy_11,entropy_12,entropy_13,entropy_14,entropy_15,entropy_16,entropy_17,entropy_18,awd_0,awd_1,awd_2,awd_3,awd_4,awd_5,awd_6,awd_7,awd_8,awd_9,awd_10,awd_11,awd_12,awd_13,awd_14,awd_15,awd_16,awd_17,awd_18,awe_pli_0,awe_pli_1,awe_pli_2,awe_pli_3,awe_pli_4,awe_pli_5,awe_pli_6,awe_pli_7,awe_pli_8,awe_pli_9,awe_pli_10,awe_pli_11,awe_pli_12,awe_pli_13,awe_pli_14,awe_pli_15,awe_pli_16,awe_pli_17,awe_pli_18,class
1477,0.2991590202,0.0194783974,3.7159776688,3.4503352642,3.2090444565,2.7789556980,3.1675913334,3.3257575035,3.2414767742,3.0197911263,5.4318981171,3.4496145248,4.7113938332,4.2135906219,3.6669740677,3.6103119850,2.8912909031,3.0210590363,2.9399151802,2.6113827229,3.0309238434,3.4163711071,3.4673631191,3.5652129650,3.4619843960,3.5305612087,3.5479764938,3.5353925228,3.5717215538,3.6231448650,3.5710229874,3.4925036430,3.5129494667,3.5864958763,3.5107591152,3.5211777687,3.5294432640,3.4292750359,3.3097918034,3.4921801090,15.0375986099,14.6383657455,14.9436044693,13.9752578735,14.9385995865,13.9496021271,15.5360431671,14.3034200668,16.5413780212,15.4850101471,14.1931934357,14.2256927490,16.4206657410,14.6967744827,15.1663331985,14.1637353897,14.0505924225,14.0711612701,13.7865848541,0.1305263191,0.1031578928,0.1347368360,0.1115789488,0.1305263191,0.1031578928,0.1073684171,0.1263157874,0.1494736820,0.1031578928,0.1052631587,0.2000000030,0.1452631503,0.1199999973,0.0610526316,0.0842105225,0.2105263174,0.1178947389,0.1263157874,1.0000000000
502,0.2981095612,0.0199781638,5.6800918579,6.4566612244,5.9146413803,6.5646195412,5.7522606850,6.0207405090,6.1918487549,5.9456195831,6.3799715042,6.0827512741,5.2687859535,6.0768475533,6.0246376991,5.9645409584,6.1596474648,5.7601566315,5.9375882149,6.0354447365,6.0785646439,3.5313980579,3.5582976341,3.5587592125,3.6415934563,3.6211476326,3.6422922611,3.4930202961,3.5031449795,3.4007565975,3.4603106976,3.6913430691,3.5109522343,3.6259791851,3.4100992680,3.4385628700,3.4346265793,3.4750883579,3.7366912365,3.5149466991,14.9895792007,15.6641731262,14.8593568802,15.8988609314,14.9998579025,16.3017425537,14.0481691360,14.8836565018,14.1289768219,15.0485038757,15.5227489471,15.4209184647,15.9341373444,15.1680545807,13.9756355286,15.2730426788,14.7356252670,16.0619201660,14.6351661682,0.1094736829,0.1578947306,0.1789473742,0.1431578994,0.1473684162,0.0947368369,0.1494736820,0.1094736829,0.1221052632,0.1599999964,0.1052631587,0.0799999982,0.0863157883,0.0968421027,0.1157894731,0.1347368360,0.1157894731,0.2778947353,0.1326315701,0.0000000000
2107,0.3910658062,0.0199883878,3.3751077652,3.2301537991,3.2676184177,3.3334157467,3.1754415035,3.1731343269,3.7475733757,4.5211567879,4.0761461258,4.1592202187,3.6165239811,3.1438238621,3.1679871082,3.2548553944,3.4556858540,3.4307274818,3.2924251556,4.3953723907,4.6647381783,3.3884930611,3.5346939564,3.3554632664,3.4634652138,3.3607566357,3.5839817524,3.3501152992,3.4905612469,3.4370822906,3.5570821762,3.3819844723,3.5076560974,3.4153378010,3.5255880356,3.3901975155,3.5167620182,3.3700993061,3.5177810192,3.4717891216,13.5981492996,13.7376270294,12.7490081787,12.7158021927,12.3365278244,14.0488662720,12.7302541733,13.6079902649,13.3719644547,14.9085025787,14.3132638931,13.8598070145,13.3761024475,13.1760530472,13.7121677399,14.0544614792,12.6256618500,13.3435478210,13.0836153030,0.2484210432,0.3031578958,0.2231578976,0.2063157856,0.2673684359,0.2421052605,0.2610526383,0.1978947371,0.2631579041,0.3936842084,0.1957894713,0.2863157988,0.1557894796,0.2021052688,0.2042105198,0.1621052623,0.0968421027,0.2273684144,0.2126315832,2.0000000000
819,0.2803557217,0.0199999996,3.2728230953,3.1317639351,3.1412315369,3.3979637623,3.3067002296,3.0478091240,3.9377598763,3.0865862370,3.6304147243,3.7811799049,3.1794304848,3.1283142567,3.5550746918,4.0294227600,3.6204881668,4.2946214676,2.9454483986,3.1598010063,3.1977944374,3.3235359192,3.3655333519,3.2608273029,3.2032706738,3.4673631191,3.5011477470,3.4888839722,3.2789626122,3.3907141685,3.3750996590,3.2020552158,3.2206859589,3.4581718445,3.5227539539,3.4734661579,3.3627538681,3.3580045700,3.3783683777,3.3595962524,13.1260004044,12.4979686737,12.2519292831,11.3096456528,12.9751729965,13.3314685822,13.8827486038,12.8895330429,12.7735195160,12.9157094955,12.2407398224,12.4900817871,13.6657800674,14.3580560684,13.3727760315,12.3529624939,12.5905704498,12.5460529327,13.6215448380,0.2568421066,0.1663157940,0.4021052718,0.0968421027,0.1368421018,0.1115789488,0.1684210598,0.2231578976,0.2357894778,0.1515789479,0.1389473677,0.3915789425,0.2021052688,0.1705263108,0.2000000030,0.1621052623,0.1599999964,0.1831578910,0.2063157856,1.0000000000
288,0.2845152318,0.0211111102,2.2384080887,2.5565371513,2.2758917809,2.2726264000,2.5050680637,3.0015373230,2.3889548779,1.9545438290,1.8655208349,2.2598280907,2.7600677013,2.5825054646,3.2524647713,2.4406120777,2.1737918854,2.8018012047,2.4098918438,2.1508834362,1.8440966606,3.4000020027,3.3848218918,3.4472103119,3.3950016499,3.3839850426,3.4603106976,3.3876562119,3.3189625740,3.1892783642,3.3957836628,3.3101153374,3.2656040192,3.4015934467,3.3917889595,3.3235907555,3.3546264172,3.4900445938,3.4055881500,3.3439817429,11.7147655487,11.5766677856,12.0528278351,11.8440904617,11.5537214279,11.6931381226,11.5880298615,11.3334655762,10.6415920258,11.6949119568,11.9352121353,11.4370079041,12.8400325775,11.3621110916,11.1983346939,11.3436574936,12.5203151703,11.6987657547,10.7530107498,0.3284210563,0.2126315832,0.3705263138,0.2694736719,0.1978947371,0.2399999946,0.1368421018,0.1726315767,0.1810526252,0.1621052623,0.1810526252,0.2378947288,0.2189473659,0.1810526252,0.1894736886,0.4063158035,0.1873684227,0.1894736886,0.2189473659,0.0000000000
595,0.3800381422,0.0164930560,2.5900089741,2.4674379826,2.5238864422,2.5263907909,2.6052241325,2.6098427773,2.3079314232,2.3528127670,2.1548850536,2.1195077896,2.4837710857,2.6631088257,2.3048565388,2.6166172028,2.3006646633,2.1382796764,2.5033285618,2.5416796207,2.3300628662,3.1094155312,3.0859329700,3.0251634121,2.8840217590,3.0166397095,3.0112261772,2.8970968723,2.9516720772,3.0160577297,3.0476372242,3.2094006538,2.9779677391,2.9701859951,2.9705026150,3.0805184841,2.9052488804,3.0670123100,3.0779774189,3.0165741444,10.2424678802,9.8632001877,9.7045555115,10.5618314743,9.7451658249,9.8069934845,9.0203866959,9.1792297363,8.9979305267,9.1355400085,10.7232046127,11.0294017792,9.2275390625,10.2656507492,9.1693601608,8.9276056290,9.8600387573,9.5576267242,9.2992639542,0.2063157856,0.1452631503,0.1242105216,0.2399999946,0.1494736820,0.1578947306,0.1389473677,0.1494736820,0.1410526335,0.1978947371,0.1894736886,0.1515789479,0.0799999982,0.1642105281,0.1221052632,0.2126315832,0.3157894909,0.1515789479,0.1452631503,0.0000000000
1445,0.3426195383,0.0211111102,4.4143757820,5.1603388786,3.6687529087,4.1445097923,3.7029049397,4.8067727089,3.5125541687,4.6845512390,3.5169379711,4.2471156120,3.5139901638,4.6458706856,4.7409372330,5.0472621918,4.1399426460,3.5721824169,3.6542904377,4.1257467270,4.5095777512,3.2762453556,3.2782976627,3.3170855045,3.2583682537,3.2027540207,3.2762453556,3.0465664864,3.2314686775,3.2072651386,3.3909521103,3.3338570595,3.3466372490,3.4410769939,3.2803814411,3.1624336243,3.3310229778,3.2432157993,3.0952105522,3.2133953571,12.2635154724,12.2444629669,11.2197389603,11.6147222519,11.0630044937,12.1067123413,11.3592634201,12.1329784393,11.6551170349,11.8935985565,11.8719568253,12.1473369598,12.1244239807,11.7877101898,11.7648363113,11.8958864212,11.2694787979,11.8513612747,12.2123117447,0.4084210396,0.2589473724,0.1536842138,0.2021052539,0.2147368491,0.1957894713,0.1178947389,0.2042105198,0.1347368360,0.2063157856,0.2610526383,0.3031578958,0.1221052632,0.1768421084,0.1326315701,0.1305263191,0.1726315767,0.2084210515,0.1473684162,1.0000000000
50,0.2432001084,0.0211111102,3.1763012409,3.0070376396,3.2162983418,2.5404341221,3.0318410397,2.7573332787,2.7766766548,2.7285263538,2.7868132591,2.7551507950,3.2494363785,2.4870903492,2.9353263378,2.4121565819,2.7937338352,2.8156354427,2.7499709129,2.9157118797,2.8591394424,3.1917374134,3.4256589413,3.2843761444,3.3909521103,3.2525584698,3.3811476231,3.3051972389,3.4520967007,3.4198489189,3.3487167358,3.2266440392,3.4578516483,3.2264957428,3.3294007778,3.2337863445,3.4113979340,3.3942480087,3.3489549160,3.3167059422,12.4328670502,13.1714601517,12.9470500946,13.1548814774,12.9415826797,13.2681369781,13.1006841660,13.7357330322,13.4690923691,13.4675569534,12.3933391571,13.4651889801,12.5963230133,13.0339756012,12.9706583023,14.1049423218,13.3830013275,13.4857864380,12.7242937088,0.1326315701,0.2757894695,0.1494736820,0.2947368324,0.2021052688,0.2631579041,0.1831578910,0.1515789479,0.2610526383,0.1557894647,0.1726315767,0.3557894826,0.2063157856,0.1642105281,0.2063157856,0.1663157940,0.2000000030,0.1705263108,0.3894736767,0.0000000000
970,0.3772431910,0.0199280232,3.0039389133,2.4282016754,3.7098288536,2.9719734192,4.3750810623,2.5642752647,3.4390799999,2.3943226337,3.3384633064,2.2798225880,2.9946689606,2.4755890369,2.4054186344,2.9083123207,3.0359311104,3.0996155739,2.7563505173,2.6483383179,3.6436474323,3.7419846058,3.5725584030,3.6807565689,3.4965374470,3.7590794563,3.7011475563,3.5168733597,3.6885764599,3.7039818764,3.5187592506,3.6681180000,3.6936607361,3.4930202961,3.4697916508,3.7627539635,3.6191504002,3.5227539539,3.5182976723,3.7431449890,15.3653917313,14.3576936722,15.2590026855,14.9686384201,15.2633371353,15.7211532593,17.1395912170,16.5421619415,14.9812793732,13.3471765518,14.7448196411,17.2958583832,15.3551797867,14.5696744919,15.0357379913,14.9374256134,14.3438272476,15.4623947144,15.5888500214,0.2715789378,0.3052631617,0.2189473659,0.2126315832,0.2463157922,0.5263158083,0.4021052718,0.1957894713,0.2547368407,0.2294736803,0.2231578976,0.1789473742,0.2631579041,0.4168421030,0.3852631450,0.2147368342,0.1873684227,0.2568421066,0.3873684108,1.0000000000
97,0.3521432579,0.0199873187,4.3240227699,5.0077638626,4.2046747208,4.3283133507,4.4935555458,4.1730756760,4.3727064133,4.0980968475,4.7361063957,4.5429420471,4.0021424294,4.6608548164,4.0676717758,3.8107993603,4.6379666328,3.9218177795,4.2093129158,4.1664075851,4.3791756630,3.2868866920,3.4440524578,3.3182427883,3.2664957047,3.1982975006,3.4047725201,3.2734661102,3.3713979721,3.3272104263,3.3009095192,3.2704355717,3.4872102737,3.3093333244,3.3967618942,3.2822921276,3.4533953667,3.3904902935,3.2922654152,3.4211475849,12.5509328842,13.6672248840,12.4424314499,13.4621868134,12.3058919907,14.0156173706,12.5957212448,13.5714054108,12.9675130844,12.6086397171,11.6982793808,13.9450654984,12.5730056763,13.5137100220,12.9493417740,12.9241647720,13.2389392853,12.7114868164,12.9716186523,0.1094736829,0.1157894731,0.1284210533,0.1136842072,0.2000000030,0.2252631634,0.1473684162,0.1494736820,0.1326315850,0.1052631587,0.1284210533,0.1410526335,0.1031578928,0.2084210515,0.1473684162,0.2252631634,0.1199999973,0.1557894796,0.1599999964,0.0000000000
